quota,repeat,job_id,job_name,demand,concurrent_slots,admitted,rejected,jains_index
0,0,5001,A_greedy,16,16,16,0,0.777778
0,0,5002,B_modest,4,4,4,0,0.777778
0,0,5003,C_medium,8,8,8,0,0.777778
0,1,5001,A_greedy,16,16,16,0,0.777778
0,1,5002,B_modest,4,4,4,0,0.777778
0,1,5003,C_medium,8,8,8,0,0.777778
0,2,5001,A_greedy,16,16,16,0,0.777778
0,2,5002,B_modest,4,4,4,0,0.777778
0,2,5003,C_medium,8,8,8,0,0.777778
1,0,5001,A_greedy,16,1,1,15,1.0
1,0,5002,B_modest,4,1,1,3,1.0
1,0,5003,C_medium,8,1,1,7,1.0
1,1,5001,A_greedy,16,1,1,15,1.0
1,1,5002,B_modest,4,1,1,3,1.0
1,1,5003,C_medium,8,1,1,7,1.0
1,2,5001,A_greedy,16,1,1,15,1.0
1,2,5002,B_modest,4,1,1,3,1.0
1,2,5003,C_medium,8,1,1,7,1.0
2,0,5001,A_greedy,16,2,2,14,1.0
2,0,5002,B_modest,4,2,2,2,1.0
2,0,5003,C_medium,8,2,2,6,1.0
2,1,5001,A_greedy,16,2,2,14,1.0
2,1,5002,B_modest,4,2,2,2,1.0
2,1,5003,C_medium,8,2,2,6,1.0
2,2,5001,A_greedy,16,2,2,14,1.0
2,2,5002,B_modest,4,2,2,2,1.0
2,2,5003,C_medium,8,2,2,6,1.0
4,0,5001,A_greedy,16,4,4,12,1.0
4,0,5002,B_modest,4,4,4,0,1.0
4,0,5003,C_medium,8,4,4,4,1.0
4,1,5001,A_greedy,16,4,4,12,1.0
4,1,5002,B_modest,4,4,4,0,1.0
4,1,5003,C_medium,8,4,4,4,1.0
4,2,5001,A_greedy,16,4,4,12,1.0
4,2,5002,B_modest,4,4,4,0,1.0
4,2,5003,C_medium,8,4,4,4,1.0
6,0,5001,A_greedy,16,6,6,10,0.969697
6,0,5002,B_modest,4,4,4,0,0.969697
6,0,5003,C_medium,8,6,6,2,0.969697
6,1,5001,A_greedy,16,6,6,10,0.969697
6,1,5002,B_modest,4,4,4,0,0.969697
6,1,5003,C_medium,8,6,6,2,0.969697
6,2,5001,A_greedy,16,6,6,10,0.969697
6,2,5002,B_modest,4,4,4,0,0.969697
6,2,5003,C_medium,8,6,6,2,0.969697
8,0,5001,A_greedy,16,8,8,8,0.925926
8,0,5002,B_modest,4,4,4,0,0.925926
8,0,5003,C_medium,8,8,8,0,0.925926
8,1,5001,A_greedy,16,8,8,8,0.925926
8,1,5002,B_modest,4,4,4,0,0.925926
8,1,5003,C_medium,8,8,8,0,0.925926
8,2,5001,A_greedy,16,8,8,8,0.925926
8,2,5002,B_modest,4,4,4,0,0.925926
8,2,5003,C_medium,8,8,8,0,0.925926
10,0,5001,A_greedy,16,10,10,6,0.896296
10,0,5002,B_modest,4,4,4,0,0.896296
10,0,5003,C_medium,8,8,8,0,0.896296
10,1,5001,A_greedy,16,10,10,6,0.896296
10,1,5002,B_modest,4,4,4,0,0.896296
10,1,5003,C_medium,8,8,8,0,0.896296
10,2,5001,A_greedy,16,10,10,6,0.896296
10,2,5002,B_modest,4,4,4,0,0.896296
10,2,5003,C_medium,8,8,8,0,0.896296
12,0,5001,A_greedy,16,12,12,4,0.857143
12,0,5002,B_modest,4,4,4,0,0.857143
12,0,5003,C_medium,8,8,8,0,0.857143
12,1,5001,A_greedy,16,12,12,4,0.857143
12,1,5002,B_modest,4,4,4,0,0.857143
12,1,5003,C_medium,8,8,8,0,0.857143
12,2,5001,A_greedy,16,12,12,4,0.857143
12,2,5002,B_modest,4,4,4,0,0.857143
12,2,5003,C_medium,8,8,8,0,0.857143
16,0,5001,A_greedy,16,16,16,0,0.777778
16,0,5002,B_modest,4,4,4,0,0.777778
16,0,5003,C_medium,8,8,8,0,0.777778
16,1,5001,A_greedy,16,16,16,0,0.777778
16,1,5002,B_modest,4,4,4,0,0.777778
16,1,5003,C_medium,8,8,8,0,0.777778
16,2,5001,A_greedy,16,16,16,0,0.777778
16,2,5002,B_modest,4,4,4,0,0.777778
16,2,5003,C_medium,8,8,8,0,0.777778
24,0,5001,A_greedy,16,16,16,0,0.777778
24,0,5002,B_modest,4,4,4,0,0.777778
24,0,5003,C_medium,8,8,8,0,0.777778
24,1,5001,A_greedy,16,16,16,0,0.777778
24,1,5002,B_modest,4,4,4,0,0.777778
24,1,5003,C_medium,8,8,8,0,0.777778
24,2,5001,A_greedy,16,16,16,0,0.777778
24,2,5002,B_modest,4,4,4,0,0.777778
24,2,5003,C_medium,8,8,8,0,0.777778
