config,num_workers,trial,uplink_packets,latency_us,wall_us
noagg,2,0,2,9222,1021420.0
useragg,2,0,1,4271,424335.0
noagg,2,1,2,10856,1025251.9
useragg,2,1,1,5141,543158.1
noagg,2,2,2,6372,1019189.6
useragg,2,2,1,9274,547009.9
noagg,2,3,2,4436,1009732.0
useragg,2,3,1,7014,521839.9
noagg,2,4,2,5352,1024726.2
useragg,2,4,1,6313,524969.1
noagg,2,5,2,5554,1020595.1
useragg,2,5,1,6628,433363.0
noagg,2,6,2,5926,1021066.0
useragg,2,6,1,6458,421206.0
noagg,2,7,2,3698,1020349.0
useragg,2,7,1,5548,527055.3
noagg,2,8,2,4760,1020383.8
useragg,2,8,1,6976,519528.2
noagg,2,9,2,6657,1015304.3
useragg,2,9,1,3977,425326.1
noagg,4,0,4,18442,1039351.0
useragg,4,0,1,26132,560105.1
noagg,4,1,4,19839,1033193.1
useragg,4,1,1,17637,448335.2
noagg,4,2,4,19316,1033319.2
useragg,4,2,1,23276,543067.9
noagg,4,3,4,12792,1025456.2
useragg,4,3,1,15976,543664.9
noagg,4,4,4,18268,1033107.3
useragg,4,4,1,24649,445923.1
noagg,4,5,4,18847,1025456.9
useragg,4,5,1,19506,431502.8
noagg,4,6,4,19844,1032606.8
useragg,4,6,1,16568,442911.4
noagg,4,7,4,19541,1030651.8
useragg,4,7,1,20330,450718.9
noagg,4,8,4,17138,1023126.1
useragg,4,8,1,13805,539214.1
noagg,4,9,4,16272,1034223.1
useragg,4,9,1,18449,438340.9
noagg,8,0,8,38408,1051250.2
useragg,8,0,1,137649,660831.2
noagg,8,1,8,38653,1055090.0
useragg,8,1,1,39810,562962.8
noagg,8,2,8,53657,1061729.0
useragg,8,2,1,39141,563766.0
noagg,8,3,8,47450,1062836.9
useragg,8,3,1,46347,567349.0
noagg,8,4,8,44558,1058121.9
useragg,8,4,1,45515,459982.9
noagg,8,5,8,37103,1054649.8
useragg,8,5,1,35946,451363.1
noagg,8,6,8,33524,1045748.9
useragg,8,6,1,38912,577008.0
noagg,8,7,8,43427,1058238.0
useragg,8,7,1,40493,461893.1
noagg,8,8,8,42768,1054470.3
useragg,8,8,1,40126,458185.2
noagg,8,9,8,44907,1051839.1
useragg,8,9,1,48642,474710.9
noagg,16,0,16,96656,1107377.1
useragg,16,0,1,93404,609767.2
noagg,16,1,16,85975,1093388.1
useragg,16,1,1,83481,606530.2
noagg,16,2,16,88515,1110891.8
useragg,16,2,1,107336,627938.0
noagg,16,3,16,87465,1093757.9
useragg,16,3,1,165766,593060.3
noagg,16,4,16,84822,1101839.3
useragg,16,4,1,217579,746385.8
noagg,16,5,16,88889,1103973.2
useragg,16,5,1,86534,503612.3
noagg,16,6,16,95674,1108720.8
useragg,16,6,1,326204,860798.8
noagg,16,7,16,231416,1246947.1
useragg,16,7,1,72929,595932.0
noagg,16,8,16,81480,1089486.1
useragg,16,8,1,98469,522949.9
noagg,16,9,16,84176,1095563.9
useragg,16,9,1,160198,633634.1
